Array,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4
ERBB3_1283_1295,0,-1,-1,-1,0,-3,1,-1,-1,1,0,-2,-1,-1,0,1,0,0,0,-1,1,-1,0,2,0,1,0,1,1,2,0,0,3,1,0,2,0,0,3,1,0,3,1,1,3,0,2,2,1,3,4,2,3,4,1,2,4,0,2,3,2,0,3,0,-1,2,4,12,1,0,2,-2,0,-1,-1,-2,-1,-2,-2,-1,-1,-1,-2,-1,0,-2,-1,-1,-2,0,1,1,1,-2,1,0,2,2,-1,1,3,1,0,4,0,1,4,-1,3,3,1,3,1,0,1,2,2,3,6,2,2,-2,2,2,4,0,2,5,1,2,5,0,1,3,6,13,0,0,-3,-1,-1,1,0,-2,-2,0,3,-1,0,0,0,1,1,1,0,1,0,0,2,1,0,1,0,0,0,1,0,2,2,1,3,5,1,1,2,1,1,3,0,1,1,0,0,2,1,0,3,-1,1,3,0,2,3,0,1,0,1,3,5,1,0,2,4,13,-1,-1,-1,0,0,1,0,0,2,1,-2,0,1,-1,1,1,-1,1,0,-2,0,1,-2,1,0,0,-1,-2,1,2,1,-2,2,0,3,2,-1,0,1,1,0,2,0,1,5,1,2,2,1,2,1,0,3,2,-1,2,2,1,4,3,0,2,5,2,0,3,6,14
VGFR1_1320_1332_C1320K/C1321K,2,0,1,0,0,0,0,1,-2,0,-2,-2,-1,-1,-2,0,0,0,1,0,-2,2,-2,-1,-1,0,-1,-1,0,-1,1,-1,-3,1,-1,-3,-1,-2,2,1,-1,-1,0,1,0,-1,-1,0,-2,0,-1,0,-2,-1,0,0,-1,0,-1,0,0,0,-2,0,1,0,-6,-6,-1,-1,0,0,-1,-2,1,-2,-2,-2,-1,-4,0,0,-2,0,-1,-3,-1,-1,0,-1,0,-1,-2,-2,0,-2,-1,-3,1,0,-1,-1,0,-3,0,2,-4,-1,-2,-1,-1,-1,-4,1,-2,-3,0,0,1,-1,1,-1,0,1,-3,1,-1,-1,-1,-1,0,0,0,-1,-3,-4,0,1,-1,-1,0,2,0,-2,-2,0,-1,-1,1,0,-1,-1,-2,-3,0,2,-1,-1,-2,-3,1,-1,0,1,0,-4,0,-1,1,-1,0,-2,-1,-1,-2,0,-1,0,0,1,1,0,-2,-1,-2,-1,-1,-1,0,-1,-1,0,1,-1,1,0,-1,-1,-1,0,0,0,0,-2,-1,-1,0,0,-1,-1,0,-1,-2,1,0,0,1,-1,0,-1,-1,-1,0,1,-2,-1,0,-3,1,-1,1,0,0,0,-1,0,-1,-1,-1,-3,-1,1,-1,1,0,0,1,0,1,1,-1,1,0,0,-3,-1,0,0,1,-1,-2,0,-1,1,2,-2,0,-1,-1,0,0,2
RON_1346_1358,0,0,2,0,0,-1,-1,-1,2,2,1,1,0,3,4,2,4,7,2,3,5,3,4,9,0,4,10,3,4,11,4,7,11,3,7,14,3,7,14,1,11,17,3,8,16,4,10,17,3,10,18,2,10,20,5,11,20,5,11,23,4,12,25,4,7,14,27,55,0,0,0,-1,-2,0,-1,-1,-3,-3,3,-1,-1,1,-1,-1,2,0,0,2,2,-1,1,1,1,1,6,1,1,4,1,2,3,1,2,4,3,2,6,2,3,3,1,2,-1,2,4,5,0,4,8,1,4,7,3,4,7,3,3,5,0,4,11,-1,1,6,10,21,0,-2,-1,1,-1,-3,1,-3,0,0,-2,-2,0,-1,-4,-1,0,1,0,1,1,-2,0,0,0,-1,1,0,0,1,1,0,0,-1,2,3,1,3,1,1,0,5,1,2,6,0,3,1,2,-1,4,2,1,4,1,2,6,1,2,6,0,1,5,2,1,2,6,13,0,-1,-1,1,0,-2,1,-1,0,-1,1,-1,0,0,2,0,-1,3,-1,3,0,-1,3,4,1,3,4,1,2,4,1,1,4,0,3,7,2,3,7,3,2,8,3,3,11,4,4,12,2,5,10,3,7,13,1,4,11,1,5,5,1,6,12,1,2,10,13,29
INSR_1348_1360,1,2,1,0,1,1,0,2,4,1,2,1,-1,3,1,-2,2,2,2,0,1,0,1,3,1,1,1,1,1,3,-1,-1,2,0,1,4,-1,-1,3,1,0,1,0,0,2,0,1,3,1,4,0,-1,1,1,1,2,3,-1,2,3,0,2,2,0,-1,2,6,14,-2,2,2,1,0,2,-1,1,0,-2,1,1,-2,1,0,0,0,0,0,2,2,-1,-1,3,-1,0,0,-1,-1,1,1,2,-1,0,2,-1,0,-1,2,-2,0,0,1,0,1,1,-2,0,0,1,-1,-1,0,0,2,2,2,-1,-2,2,0,0,2,0,2,0,4,12,0,0,2,0,-1,0,2,0,1,-1,1,1,2,0,0,-1,-1,3,-1,-1,1,1,2,3,1,-1,2,0,0,2,1,2,4,-1,-2,3,1,0,1,1,0,1,1,1,1,1,1,2,0,1,2,-1,1,2,0,1,0,-1,0,0,0,-1,1,0,2,2,1,4,0,0,1,1,1,1,1,0,2,1,0,-1,0,-1,0,1,0,-1,-2,3,3,-1,0,2,0,3,4,0,0,0,0,1,0,0,0,1,0,1,2,0,1,2,0,2,1,0,0,2,1,1,4,0,1,1,-1,2,1,0,1,2,0,3,2,0,0,1,1,3
MET_1360_1370_C1361S,-1,0,1,1,0,-2,0,0,0,-1,1,-2,1,-1,0,-1,0,-3,-1,-1,-1,1,-1,-1,-2,0,-3,0,-3,0,0,-2,-3,2,-2,-4,-1,0,-2,-1,0,-3,-1,-1,-3,0,-3,-3,-1,-2,-5,-3,-3,-4,0,-1,-4,1,-2,-2,-1,-3,-3,1,1,-3,-4,-9,0,1,0,-1,-1,-1,-1,-2,-2,-1,0,-4,0,-1,-3,0,-3,-2,-1,-1,-2,0,-1,-4,-2,0,-4,-4,-2,0,-1,-2,-1,-2,-1,-5,-2,-2,-2,1,-1,-5,-1,-2,-3,-2,-1,1,-1,-1,-3,-1,-2,-3,-1,-4,-3,0,-2,-2,-2,-2,-4,1,0,0,-3,-6,0,1,1,0,0,-1,0,-1,-3,-1,-1,-1,0,-2,-2,-1,0,-1,-2,-1,-2,-1,-1,-4,-2,-1,-2,-1,-3,-2,1,0,-1,0,-1,-1,0,-4,-3,0,-2,-3,-2,1,-1,0,-1,-2,0,-2,-5,0,0,-1,0,-4,-5,0,-1,-5,-1,-3,-1,-1,-1,-2,-4,-7,0,1,2,-1,1,-1,-1,-1,0,-1,-1,0,-1,-3,-2,-1,0,-2,0,-1,-1,-1,-1,-3,-1,-2,-3,1,-1,-2,1,0,-2,-1,-1,-3,-1,-3,-1,1,0,-3,0,-1,-5,1,-3,-3,-1,-2,-3,-3,-1,-3,0,-3,-2,0,-2,-3,-1,-1,-7,0,-2,-2,-7,-11
CD3Z_135_147,2,0,2,0,-1,1,2,2,4,1,4,6,2,7,5,0,5,7,1,4,10,2,8,11,3,7,13,1,8,15,5,7,11,5,10,19,4,12,20,5,9,21,4,12,27,4,13,26,6,15,25,5,12,28,6,14,29,6,15,29,6,17,33,4,6,19,35,69,-1,-1,2,2,1,2,1,0,1,1,1,2,0,2,3,0,2,3,1,2,3,1,3,6,0,2,2,1,2,4,1,3,6,1,4,8,2,5,9,0,2,9,3,4,9,3,6,11,1,5,11,1,4,11,1,7,11,3,6,15,-1,6,17,2,2,6,14,26,0,1,1,-1,-1,-1,0,1,-2,1,-1,-1,1,2,0,0,3,2,-1,1,0,0,-2,1,0,1,1,2,-2,4,0,2,2,2,1,5,-1,1,3,0,1,4,1,3,5,0,2,5,0,5,6,3,2,7,2,4,5,0,4,7,0,4,6,1,1,7,11,19,-1,1,0,1,-1,2,1,1,0,1,1,2,1,1,2,1,1,2,0,1,4,0,2,6,1,1,10,2,4,9,1,5,10,2,5,10,2,5,13,2,7,12,3,6,14,4,7,13,3,8,18,4,8,15,2,6,14,4,10,18,5,6,18,0,5,12,23,46
CDK1_9_21,0,1,3,3,6,9,7,15,29,10,24,46,10,27,58,15,35,72,17,41,89,20,50,102,22,57,114,23,64,129,28,73,137,31,78,152,31,82,164,34,89,172,39,96,188,38,99,201,40,106,204,43,108,217,47,114,231,47,120,238,52,124,245,27,53,135,266,539,0,0,1,2,1,6,2,4,10,4,7,18,5,11,20,6,11,25,7,13,29,7,14,33,9,18,42,9,22,42,9,22,50,10,27,54,10,30,58,13,31,62,14,34,69,13,31,73,14,36,73,14,37,79,16,41,88,17,43,83,16,46,91,8,16,40,80,158,0,1,3,2,3,3,1,2,4,2,5,6,1,4,11,3,6,14,3,8,14,4,8,20,4,9,17,5,11,25,5,11,27,5,14,26,5,13,21,7,13,32,7,16,37,8,18,39,8,18,38,9,20,43,7,19,46,9,23,48,8,22,51,6,10,31,59,121,0,0,0,1,2,4,1,6,9,1,7,12,5,10,19,6,17,29,7,12,32,9,20,40,8,20,45,11,25,53,8,28,60,12,31,64,14,34,67,16,38,76,16,42,88,16,44,92,17,47,97,17,46,104,18,55,108,22,51,114,23,61,122,14,27,69,151,305
CDK2_8_20,-1,-1,5,3,8,12,7,12,28,5,23,47,10,29,63,17,40,77,19,50,100,20,56,112,26,64,130,29,71,145,32,77,154,36,87,176,38,98,192,40,101,201,43,113,220,46,116,233,50,121,249,53,132,256,56,137,276,55,139,289,60,148,298,35,69,172,332,664,0,0,2,2,1,5,3,4,11,3,7,17,5,10,22,5,16,29,6,15,34,7,20,42,10,25,51,10,26,55,13,32,60,12,32,70,15,36,73,17,40,82,16,42,86,16,43,94,19,51,98,21,55,103,21,56,115,26,58,122,25,62,124,12,21,54,112,217,0,1,1,1,4,2,1,-5,4,2,3,7,1,5,11,3,5,16,2,6,22,4,10,20,4,11,25,5,12,26,7,15,31,7,16,37,7,18,40,9,19,41,8,23,48,10,26,50,10,25,51,10,27,59,12,29,60,13,32,69,15,36,69,6,15,32,64,127,1,1,2,1,3,8,2,5,12,4,8,21,6,14,31,8,19,41,7,25,49,11,29,60,14,35,73,18,43,87,20,46,91,19,57,113,23,62,123,25,65,137,28,70,143,32,81,158,32,83,173,34,89,182,36,97,192,40,103,210,41,111,221,19,34,90,177,364
CD70_9_21_C17S,1,3,5,3,6,11,3,6,11,2,6,14,2,7,12,4,5,14,0,6,12,2,6,11,2,5,14,3,5,10,2,8,7,1,6,11,3,5,12,2,4,10,2,6,11,2,7,9,0,5,10,2,5,11,3,6,9,2,7,11,3,4,13,0,3,6,8,23,1,2,8,3,4,8,3,4,9,1,4,6,0,4,6,2,2,6,1,4,4,2,1,7,-1,2,4,2,3,6,0,4,5,0,3,5,1,2,5,1,3,4,1,2,5,1,2,6,-1,2,6,0,3,4,2,2,5,0,0,6,2,2,5,2,0,2,8,11,2,1,8,3,6,11,2,6,11,1,5,9,1,1,5,2,2,5,2,3,7,-1,1,7,1,3,5,1,2,5,2,2,6,1,2,4,0,1,5,0,4,5,0,1,3,1,2,4,0,0,6,1,3,6,2,0,4,2,3,7,1,2,5,2,1,1,1,8,2,1,4,2,4,7,1,4,7,1,2,9,0,4,3,0,5,7,2,4,7,0,2,8,1,3,8,2,3,5,0,3,5,1,2,6,1,5,7,0,5,6,1,3,5,1,4,7,2,3,9,0,4,7,3,5,7,3,3,7,1,4,5,1,1,3,7,12
CD3Z_146_158,0,1,-2,0,0,-3,0,-1,1,-1,-1,4,0,1,3,1,1,4,1,3,7,0,5,8,0,4,8,1,6,4,1,0,9,-2,2,8,0,5,6,1,5,8,1,5,13,1,5,12,1,5,12,4,6,10,3,6,12,1,5,11,1,5,12,1,4,5,13,26,2,0,0,0,0,-4,0,0,1,1,1,-3,0,0,3,-1,0,2,-1,0,-1,0,0,2,1,1,5,-1,-1,5,-1,1,1,0,1,2,2,1,7,0,2,6,1,1,7,2,3,7,2,1,8,1,1,7,0,4,7,1,4,9,2,1,9,1,0,3,8,15,1,0,-2,-2,-1,-4,0,-1,-1,1,1,-2,-1,-1,-2,1,-2,-1,-1,-1,-4,0,-2,-2,0,0,-2,0,-2,3,-1,-2,-3,0,0,-1,0,-2,-2,0,-1,2,0,0,4,0,1,-1,0,0,-1,-1,3,0,-2,0,0,-1,0,3,1,-1,2,0,1,0,3,4,-1,0,1,1,0,-1,0,-1,1,1,0,2,1,2,1,0,2,3,1,1,6,0,2,3,1,1,6,-1,2,4,2,1,7,0,2,7,2,3,7,-1,1,6,1,2,1,1,1,6,1,0,9,1,4,4,1,3,6,0,2,7,2,4,10,1,2,4,8,12
CD3Z_147_159,1,-1,-2,-1,-1,-1,1,0,-2,0,1,-2,-1,-1,1,2,0,-3,0,-1,0,0,0,1,2,2,4,1,4,2,-1,1,3,1,2,3,1,0,4,0,3,4,1,2,6,1,4,4,1,2,6,1,3,7,1,2,5,2,2,5,1,3,7,1,2,5,10,15,1,-1,0,0,-1,-3,-2,-1,-3,-1,0,-2,-2,-1,1,1,1,-3,-1,0,1,0,0,1,-1,0,1,-1,0,-3,-2,1,2,0,0,0,-1,0,1,2,1,0,1,1,4,1,-1,3,-1,4,5,0,0,1,0,0,0,1,3,2,0,1,0,1,1,2,4,5,0,0,-2,-1,-2,-2,1,-1,-3,0,-1,1,0,0,-1,1,1,-1,-1,0,0,-1,-1,0,0,0,1,2,0,2,0,-2,2,-1,-1,1,-1,1,2,0,1,1,-1,0,2,1,0,0,2,-1,1,-1,1,0,2,2,0,-1,0,3,1,0,2,0,-1,1,7,8,-1,1,0,0,1,-1,0,1,0,0,-1,-2,1,-2,0,0,-2,1,-1,1,1,-1,0,-2,-1,1,0,0,2,-1,1,0,3,0,2,3,0,1,2,0,0,3,-1,0,1,1,0,4,0,2,3,0,2,4,1,0,4,0,3,5,2,2,7,1,2,3,5,15
CDK7_157_169,1,1,3,0,2,4,3,2,3,2,1,5,1,2,5,0,1,2,0,2,0,1,1,5,1,1,4,1,2,4,1,1,3,1,2,4,-1,1,1,0,2,4,-1,0,1,1,0,4,0,1,3,0,-2,4,0,-1,4,2,3,3,1,1,2,1,0,2,-1,0,0,0,2,0,1,3,0,2,0,2,1,1,0,1,2,-1,2,2,-2,0,0,0,2,0,0,0,0,0,0,0,2,-1,0,0,0,2,1,-2,-1,-2,-1,-2,-1,0,-1,0,2,-1,-2,-1,-1,0,-1,-2,-1,0,-1,0,1,-1,1,-2,1,1,-1,0,0,-1,1,-2,2,0,2,3,3,1,2,1,1,2,0,-1,1,-1,3,1,1,2,0,0,0,0,0,1,-1,2,0,-1,0,1,3,2,1,2,1,-2,1,-1,0,0,0,1,1,1,-1,-1,2,-1,1,-1,-1,0,1,1,1,1,-2,2,-1,1,-1,-1,0,0,-2,-1,1,-2,0,0,1,3,1,2,2,2,3,2,1,-1,1,0,0,2,1,1,2,-1,0,3,0,0,2,1,0,3,1,1,2,-1,1,0,1,0,1,0,0,2,0,-2,1,0,0,-1,0,-3,3,0,-1,-1,0,3,-2,-1,-2,0,1,1,0,0,-1,-1,-2,-5
CDK4_11_23,0,1,2,0,2,5,2,5,8,2,7,7,3,8,16,3,9,18,4,11,21,5,14,27,6,13,27,7,16,34,9,19,34,9,18,36,9,21,43,8,24,46,10,22,52,9,25,56,10,26,59,11,31,60,12,30,57,13,32,66,12,36,71,8,15,38,74,157,-2,-1,1,0,1,0,2,-1,-1,1,1,4,1,2,2,1,3,3,0,2,5,1,4,8,2,4,8,2,4,7,2,5,8,2,8,12,2,6,13,3,7,12,0,7,12,5,7,13,3,10,16,2,9,17,5,11,19,4,10,16,4,9,23,2,5,13,19,49,-1,0,-2,1,-1,1,1,0,0,-1,1,1,1,1,0,0,0,3,-1,1,3,-1,2,3,1,2,2,-1,3,4,0,1,4,0,3,3,1,2,6,1,0,6,2,5,8,2,3,10,3,4,10,2,3,10,3,5,10,3,5,11,3,7,8,1,4,6,18,31,0,0,0,0,0,0,0,1,1,-1,0,1,1,2,4,2,3,6,1,3,5,1,5,8,3,3,9,1,6,10,1,6,11,5,9,17,4,10,15,7,10,17,5,9,20,4,11,21,5,8,26,6,12,26,5,12,30,5,14,26,6,16,32,4,6,16,41,81
AKT1_170_182,0,2,2,2,2,5,0,0,5,0,2,2,-1,1,4,0,3,3,0,3,2,2,0,2,-1,1,3,1,0,3,0,1,2,2,1,2,1,1,3,-1,1,4,-1,-1,2,2,1,3,2,0,1,-2,0,2,-2,0,2,1,1,2,-1,1,0,0,0,-1,2,1,0,1,0,2,1,4,1,1,3,1,2,1,1,-3,-1,-2,1,0,-1,0,0,0,-1,0,1,-1,1,-1,1,0,-1,-2,-1,-1,0,-2,0,-1,-1,0,-1,1,-1,-1,-1,0,-1,-2,-1,-2,-1,0,-1,-3,-1,-1,-1,-2,0,-2,0,1,-2,0,1,-2,-1,-3,0,3,3,1,1,5,2,1,4,0,2,1,3,1,0,0,0,1,0,0,3,0,-1,3,0,0,1,0,-1,1,1,-1,2,-2,-1,-2,0,0,-2,0,0,0,1,1,-2,0,0,-1,0,1,-1,0,1,0,1,1,0,-3,-1,0,-1,1,1,-1,0,-3,-3,-7,1,2,3,1,0,4,1,3,1,1,0,2,0,2,0,0,0,2,1,0,2,-1,2,-2,0,1,2,0,1,3,0,-1,2,1,1,2,1,2,2,-1,0,-1,-1,1,2,-1,1,1,-1,0,0,2,0,2,-1,1,1,-1,2,3,-2,3,2,0,-1,1,0,0
CD79A_181_193,3,3,9,19,49,102,52,129,261,84,225,444,124,318,643,166,425,838,210,521,1031,249,619,1241,288,717,1439,331,821,1640,375,924,1817,404,1024,1999,448,1102,2187,476,1185,2346,523,1286,2547,540,1349,2614,579,1443,2800,599,1484,2911,626,1560,3019,652,1628,3183,684,1680,3283,369,743,1857,3414,2993,-1,1,2,3,8,20,9,26,53,18,42,93,29,69,141,34,86,188,46,118,237,56,143,283,69,173,337,77,200,405,86,228,463,106,253,515,111,288,579,127,320,616,135,341,700,149,368,739,159,401,811,176,444,888,182,464,930,195,496,973,210,522,1030,99,197,514,1006,1979,1,0,1,1,5,12,4,13,31,10,18,53,13,37,74,19,50,101,27,64,127,33,82,161,37,92,201,45,117,237,53,133,271,63,148,304,61,173,343,72,195,391,87,217,437,89,241,482,104,265,530,117,291,582,131,320,632,138,340,685,143,368,738,70,145,361,730,1480,0,2,2,7,13,31,14,36,78,27,73,143,43,110,219,60,150,306,81,200,412,105,265,523,125,320,621,154,386,767,184,447,909,206,526,1037,238,589,1196,264,655,1300,294,731,1458,321,792,1574,340,865,1738,378,941,1836,405,999,1953,441,1043,2075,455,1099,2210,244,477,1159,2350,3126
MK14_173_185,1,-2,0,1,1,-2,0,-1,-3,0,-1,0,0,-1,-2,-1,1,2,0,2,-2,1,1,3,0,0,4,-1,0,2,1,3,4,-1,0,5,2,2,1,-1,4,4,0,3,3,0,3,3,0,1,3,3,4,9,0,3,5,-1,5,4,0,3,8,0,-1,4,7,16,-1,-1,0,1,0,0,-1,-2,1,0,-1,0,0,-1,-1,1,-1,-1,-1,1,0,0,0,-1,0,-1,1,2,0,0,0,-3,-1,1,1,-1,0,-1,1,0,2,0,-1,1,3,-1,1,3,1,2,3,1,2,2,2,2,-1,0,1,2,2,2,3,0,1,1,4,4,-1,-1,-2,0,-1,0,0,-3,1,1,-1,-1,0,-2,-3,1,-1,-1,1,0,-2,0,1,0,1,-1,0,1,-1,-1,1,0,0,1,0,0,-1,-1,-1,0,0,-1,0,-1,0,0,2,-1,-1,1,0,0,1,2,1,0,1,-1,2,2,1,2,1,0,3,1,1,8,-1,1,2,1,1,0,1,2,-1,0,-1,-1,2,-2,1,0,-2,0,-1,1,0,-1,0,-1,1,1,1,-1,0,-3,-1,0,1,0,0,2,0,1,0,0,-1,0,-1,0,2,1,-1,3,0,2,2,2,2,3,1,-1,-1,-1,0,3,0,0,4,0,1,2,4,5
MK14_177_187,1,1,3,0,-1,-1,-1,2,2,0,2,3,0,3,1,1,2,2,0,1,4,1,4,8,1,4,5,0,3,6,2,1,5,2,3,7,1,3,6,1,3,7,1,4,8,1,3,8,1,5,7,1,4,8,2,3,8,2,3,6,1,5,10,0,3,6,11,20,-1,0,0,0,1,1,1,1,0,1,0,1,0,2,4,1,-1,1,-1,2,4,2,2,1,0,2,4,1,1,2,1,3,4,1,1,3,3,1,5,2,3,4,0,1,4,1,2,4,1,3,4,0,2,5,2,2,6,2,3,7,2,4,5,3,1,3,8,22,1,1,1,0,0,2,1,2,1,1,1,3,0,0,2,1,2,3,1,0,3,0,1,2,1,2,4,1,0,5,1,1,5,0,2,5,1,3,4,2,2,4,0,1,5,1,3,5,0,2,4,2,4,6,1,2,5,0,2,6,1,1,5,1,0,3,6,12,0,0,0,-2,0,1,0,2,1,0,0,1,0,0,2,3,0,3,1,1,0,1,0,0,1,0,2,0,1,1,0,0,3,1,1,6,2,2,4,1,1,5,2,3,5,1,2,3,1,2,3,2,2,4,1,2,3,1,1,3,2,3,4,1,1,2,5,12
MK08_181_191,1,2,2,2,3,6,2,1,3,1,3,8,3,4,6,4,5,7,1,3,10,2,6,9,4,5,10,3,4,11,2,6,11,2,6,11,3,6,11,2,4,13,0,6,11,3,8,10,2,6,13,1,4,13,4,6,13,3,6,15,0,7,13,1,2,6,13,25,0,3,2,3,2,2,2,1,4,2,1,2,2,0,2,0,1,5,3,3,0,0,1,3,1,2,4,2,0,2,0,1,5,-1,1,3,1,2,4,-1,2,2,1,0,0,1,3,3,0,2,4,2,2,3,1,2,7,1,1,5,1,2,6,-1,0,3,6,11,0,1,3,0,2,4,1,2,3,1,2,2,1,0,1,1,4,1,0,0,1,0,0,2,0,1,4,1,1,-1,0,1,3,1,1,2,-1,2,2,0,2,4,2,1,4,1,1,2,1,1,3,1,-2,2,1,0,4,1,1,2,1,1,3,-1,1,1,2,3,0,2,3,0,1,4,1,1,5,2,1,5,1,1,4,1,3,3,1,3,9,-2,0,5,2,4,4,2,3,7,1,2,6,1,4,6,0,3,6,2,1,4,2,2,7,2,3,6,-1,3,7,2,4,7,1,4,7,1,4,9,2,4,7,2,1,4,7,12
MK12_178_190,1,0,1,1,0,2,0,1,3,1,1,3,0,0,0,1,1,3,1,-1,7,1,3,4,3,0,5,0,3,6,2,1,5,2,2,5,0,4,9,2,4,8,3,4,8,1,5,7,1,6,8,-1,4,9,3,2,8,3,2,9,4,3,11,2,0,6,10,23,1,1,0,1,1,2,1,-2,2,1,0,1,-1,-1,2,0,-1,3,0,0,-1,1,0,2,1,0,3,0,0,1,0,0,4,0,0,4,1,3,3,2,0,5,2,1,5,-1,1,5,2,2,5,2,1,5,0,4,3,1,3,4,-1,3,3,1,3,3,6,14,1,0,0,1,1,1,1,3,3,-1,1,1,1,0,3,1,1,1,-1,1,2,1,1,2,1,-1,1,0,0,2,3,2,4,0,2,3,0,1,3,0,2,2,-1,1,-1,0,3,1,2,3,4,0,1,3,1,2,1,1,2,4,2,3,3,1,2,4,5,16,1,-1,0,1,1,-1,1,-1,1,1,1,0,0,2,1,0,0,1,2,2,1,1,-1,1,0,2,2,2,2,3,1,0,4,1,2,3,2,0,4,1,0,2,1,2,5,2,0,4,3,2,4,1,3,6,1,3,4,2,2,8,1,2,7,1,3,3,11,18
MK12_180_189_M182B,-1,0,2,0,0,1,-1,0,0,1,1,0,3,2,2,0,1,2,1,2,1,1,2,3,1,3,3,0,2,2,1,3,3,1,2,6,1,1,4,0,3,4,0,2,6,1,4,7,0,2,6,2,3,6,3,0,5,2,2,5,0,3,5,0,0,3,4,15,0,-1,2,0,1,1,1,0,3,-1,0,0,-1,0,-1,-1,-2,0,0,0,0,1,0,1,-1,1,3,-2,2,1,-1,-1,3,0,1,0,0,2,2,-1,0,2,0,2,4,0,0,2,0,3,5,0,1,1,-1,0,3,1,0,0,-1,2,2,-1,1,0,1,7,-1,1,1,1,1,0,0,1,3,1,0,1,0,1,1,0,1,1,0,0,0,0,1,2,1,1,2,0,1,1,0,1,0,-1,0,1,-2,1,2,0,3,2,0,1,2,-1,1,0,0,2,3,1,2,4,1,4,2,0,2,3,1,1,1,0,2,2,0,3,-1,0,1,0,0,1,0,-2,1,0,0,0,0,-1,0,-1,0,2,0,0,-1,1,2,1,0,1,1,1,1,2,1,1,1,1,2,1,1,0,3,1,2,3,0,2,3,1,2,2,0,2,3,2,-1,3,1,1,5,2,-1,4,0,2,3,1,0,2,1,4
MK01_180_192,1,0,2,-1,2,0,1,3,5,2,1,3,1,2,1,1,2,4,1,3,5,2,2,5,-1,1,3,1,3,4,2,1,4,1,-1,4,0,3,3,3,-1,8,-2,2,6,0,1,5,1,2,5,1,3,2,0,3,6,2,2,4,1,1,3,2,1,4,6,8,0,3,2,1,2,2,0,0,2,0,1,2,0,1,3,1,1,1,-1,1,2,0,1,0,0,0,1,1,0,1,0,1,3,0,0,0,-2,2,3,0,1,3,0,0,1,0,-2,1,2,-1,0,-1,1,3,0,1,2,1,2,0,0,1,-1,0,1,1,3,1,0,2,2,0,2,2,1,1,0,0,1,-1,0,2,-1,0,1,0,1,0,-2,-1,-1,0,-1,0,-1,0,-1,2,1,-1,0,1,2,-1,1,-1,-1,0,0,1,-1,1,0,0,1,-1,2,1,-1,0,1,1,0,2,1,0,-2,0,0,2,-2,0,1,0,2,-3,0,1,1,0,2,4,2,0,3,0,2,1,0,1,2,0,1,1,0,0,0,0,2,2,-1,0,1,1,1,5,1,2,0,0,1,1,0,2,1,1,1,4,0,1,3,1,0,5,0,2,1,1,2,2,0,1,2,-1,1,4,0,2,0,0,2,3,0,10
CD3E_182_194,0,1,2,1,3,4,1,7,9,4,10,15,4,10,23,6,13,31,7,16,33,7,20,38,10,21,45,9,26,52,11,26,55,12,28,58,13,32,66,15,33,71,14,35,76,16,38,79,16,41,87,18,45,85,16,44,93,20,51,98,21,51,101,9,19,50,107,212,1,-1,2,-1,2,1,2,2,3,1,0,5,3,5,10,3,4,10,2,5,12,4,6,15,4,9,15,4,7,18,4,11,19,6,11,22,5,12,23,3,15,28,6,12,32,8,15,33,7,17,32,7,16,32,6,19,34,7,17,35,9,20,38,5,8,22,40,77,0,2,-1,1,1,0,-1,1,4,-1,1,5,2,1,2,0,3,6,0,4,9,2,3,8,3,5,9,3,1,8,4,7,14,3,7,11,2,8,15,4,10,15,2,7,18,1,8,20,4,11,20,4,12,20,4,9,20,5,12,25,6,10,25,3,6,17,26,59,0,1,1,0,0,3,1,1,0,2,2,6,3,4,8,2,7,14,3,12,19,3,11,19,6,13,22,6,14,30,6,14,34,6,20,36,10,19,45,9,24,46,11,23,53,9,24,49,11,28,56,11,29,63,11,28,62,13,33,66,10,33,65,6,14,36,68,155
